age,simulation,node,y,mcc_prob,first_split
3,41,58,TRUE,1,58
4,41,52,TRUE,0.42,52
5,41,52,TRUE,0.99,52
6,41,58,TRUE,0.94,58
7,41,58,TRUE,0.87,58
8,41,58,TRUE,0.71,58
9,41,58,TRUE,0.505,58
1,42,52,TRUE,0.51,52
10,42,60,FALSE,0.025,60
11,42,52,FALSE,0.095,52
12,42,52,FALSE,0.005,52
13,42,71,FALSE,0.005,71
14,42,52,FALSE,0.005,52
15,42,52,FALSE,0.005,52
16,42,52,FALSE,0.005,52
17,42,52,FALSE,0.005,52
2,42,52,TRUE,0.895,52
3,42,58,TRUE,0.92,58
4,42,60,TRUE,0.765,60
5,42,58,TRUE,0.66,58
6,42,52,TRUE,0.135,52
7,42,59,FALSE,0.52,59
8,42,52,FALSE,0.13,52
9,42,52,FALSE,NA,52
1,43,52,TRUE,0.98,52
10,43,52,FALSE,NA,52
11,43,58,TRUE,0.405,58
12,43,52,FALSE,0.01,52
13,43,52,FALSE,0.005,52
14,43,52,FALSE,0.005,52
15,43,52,FALSE,0.005,52
16,43,52,FALSE,0.005,52
17,43,52,FALSE,0.005,52
2,43,58,TRUE,1,58
3,43,52,TRUE,0.745,52
4,43,52,TRUE,0.53,52
5,43,58,TRUE,0.895,58
6,43,52,FALSE,0.95,52
7,43,52,FALSE,NA,52
8,43,58,TRUE,0.85,58
9,43,52,FALSE,NA,52
1,44,52,TRUE,0.925,52
10,44,58,TRUE,0.195,58
11,44,52,FALSE,0.01,52
12,44,52,FALSE,0.005,52
13,44,52,FALSE,0.01,52
14,44,52,FALSE,0.01,52
15,44,52,FALSE,0.005,52
16,44,52,FALSE,0.005,52
17,44,71,FALSE,0.005,71
2,44,52,TRUE,1,52
3,44,52,TRUE,0.985,52
4,44,58,TRUE,0.99,58
5,44,58,TRUE,0.88,58
6,44,58,TRUE,0.88,58
7,44,52,TRUE,0.62,52
8,44,52,TRUE,0.93,52
9,44,52,FALSE,NA,52
1,45,58,TRUE,1,58
10,45,52,FALSE,0.46,52
11,45,52,FALSE,0.025,52
12,45,52,FALSE,0.105,52
13,45,52,FALSE,0.045,52
14,45,77,FALSE,0.005,77
15,45,52,FALSE,0.005,52
16,45,61,FALSE,0.01,61
17,45,52,FALSE,0.005,52
2,45,58,TRUE,1,58
3,45,58,TRUE,1,58
4,45,58,TRUE,0.99,58
5,45,58,TRUE,1,58
6,45,58,TRUE,0.975,58
7,45,58,TRUE,0.985,58
8,45,52,FALSE,0.125,52
9,45,52,TRUE,0.75,52
1,46,52,TRUE,1,52
10,46,52,FALSE,0.445,52
