"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
7,5,57,52,0.75,0.03
7,27,52,52,0.53,0.07
15,9,46,52,NA,0.005
6,36,69,77,0.85,0.025
4,18,52,52,0.805,0.12
6,13,83,52,0.595,0.065
16,9,52,52,0.635,0.005
15,22,56,64,0.725,0.005
6,31,69,52,0.535,0.19
8,27,52,52,0.685,0.005
5,45,52,90,0.53,0.16
9,40,56,52,0.55,0.015
8,5,70,52,0.54,0.005
7,31,52,52,0.735,0.005
5,18,52,66,0.63,0.045
7,13,68,52,0.58,0.055
9,27,52,74,0.675,0.005
17,9,62,67,0.56,0.005
8,31,73,74,0.86,0.005
9,5,60,52,0.625,0.005
16,22,52,52,0.83,0.005
6,45,52,52,0.635,0.09
8,13,82,52,0.52,0.005
9,31,55,52,0.595,0.005
6,18,59,87,0.86,0.04
7,36,61,53,0.54,0.02
2,9,52,52,0.505,0.24
9,13,63,52,0.635,0.005
7,18,62,52,0.79,0.01
7,45,61,52,0.62,0.02
17,22,52,52,0.765,0.005
8,36,72,52,0.545,0.01
8,18,61,52,0.61,0.04
8,45,72,52,0.57,0.01
3,9,85,92,0.52,0.52
2,22,52,52,0.56,0.32
9,45,64,52,0.535,0.005
4,9,57,52,0.635,0.315
9,18,76,52,0.815,0.005
3,22,52,52,0.58,0.37
9,36,52,52,0.59,0.005
5,9,52,52,0.56,0.255
4,22,73,52,0.515,0.17
6,9,57,52,0.63,0.11
5,22,52,52,0.59,0.21
7,9,75,58,0.655,0.015
6,22,52,52,0.51,0.06
8,9,75,87,0.525,0.005
7,22,52,52,0.65,0.01
9,9,71,52,0.54,0.005
8,22,52,52,0.51,0.225
9,22,59,52,0.59,0.005
