trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
422,black,5.423,4380,6.493,0.835,28,0.118,*dʰengʷ-
423,black,0.302,2473,6.493,0.047,28,0.118,*pe⁽k̑⁾tu-
424,black,2.664,2222,6.493,0.41,28,0.118,NA
425,black,2.294,1343,6.493,0.353,28,0.118,NA
437,blood,6.531,859,6.531,1,14,0.091,"*h₁ésh₂-r̥, *h₁sh₂-én-"
438,blood,5.521,1112,6.531,0.845,14,0.091,*kreu̯h₂-
439,blood,2.872,2239,6.531,0.44,14,0.091,*(h₁)reu̯dʰ-
440,blood,6.236,687,6.531,0.955,14,0.091,NA
441,blood,4.349,189,6.531,0.666,14,0.091,NA
442,blood,5.304,1458,6.531,0.812,14,0.091,NA
443,blood,2.957,977,6.531,0.453,14,0.091,NA
444,blood,2.776,1687,6.531,0.425,14,0.091,*u̯elh₂-
445,blood,4.575,6611,6.531,0.7,14,0.091,*(s)re⁽g̑⁾-
446,blood,2.752,364,6.531,0.421,14,0.091,*sokʷo-
447,blood,0.757,3276,6.531,0.116,14,0.091,NA
451,bone,8.008,519,8.008,1,21,0.1,*h₂ost-
452,bone,2.745,1114,8.008,0.343,21,0.1,NA
453,bone,4.349,191,8.008,0.543,21,0.1,NA
454,bone,4.908,11,8.008,0.613,21,0.1,NA
455,bone,2.762,9857,8.008,0.345,21,0.1,NA
456,bone,4.483,1847,8.008,0.56,21,0.1,*keh₂u̯l(o)-
457,bone,2.776,1688,8.008,0.347,21,0.1,*konh₂m-
458,bone,1.696,1459,8.008,0.212,21,0.1,NA
459,bone,0.225,7751,8.008,0.028,21,0.1,NA
460,bone,0.432,1440,8.008,0.054,21,0.1,NA
472,breathe,6.322,860,6.322,1,33,0.067,*h₂enh₁-
473,breathe,2.744,1115,6.322,0.434,33,0.067,*dʰu̯es-
474,breathe,5.725,8502,6.322,0.906,33,0.067,*k̑u̯es-
475,breathe,4.809,2571,6.322,0.761,33,0.067,NA
476,breathe,1.775,192,6.322,0.281,33,0.067,*(h₁)eh₁t-
477,breathe,2.762,9858,6.322,0.437,33,0.067,NA
478,breathe,2.581,7540,6.322,0.408,33,0.067,*bʰleh₁-
479,breathe,2.317,5820,6.322,0.367,33,0.067,*Hi̯eh₁-
480,breathe,2.606,8679,6.322,0.412,33,0.067,NA
481,breathe,4.107,3738,6.322,0.65,33,0.067,*dʰmeH-
482,breathe,2.805,1460,6.322,0.444,33,0.067,?*pneu̯-
483,breathe,1.782,8418,6.322,0.282,33,0.067,NA
484,breathe,0.117,4185,6.322,0.019,33,0.067,NA
485,breathe,0.757,1848,6.322,0.12,33,0.067,NA
486,breathe,0.759,367,6.322,0.12,33,0.067,NA
505,burn,5.564,368,6.388,0.871,23,0.067,*dʰegʷʰ-
506,burn,4.342,8388,6.388,0.68,23,0.067,*deh₂u̯-
507,burn,4.349,193,6.388,0.681,23,0.067,NA
508,burn,6.388,12,6.388,1,23,0.067,NA
509,burn,2.745,2243,6.388,0.43,23,0.067,*gʷʰer-
510,burn,5.219,979,6.388,0.817,23,0.067,*leh₂p-
511,burn,5.004,1389,6.388,0.783,23,0.067,*h₂eh₁s-
512,burn,5.304,1461,6.388,0.83,23,0.067,*k̑eh₂u̯-
513,burn,4.26,758,6.388,0.667,23,0.067,*g̑u̯elH-
514,burn,3.296,9343,6.388,0.516,23,0.067,NA
515,burn,1.544,9342,6.388,0.242,23,0.067,*h₁eu̯s-
516,burn,2.177,2242,6.388,0.341,23,0.067,NA
517,burn,0.811,2241,6.388,0.127,23,0.067,?*pel-
518,burn,2.606,5901,6.388,0.408,23,0.067,NA
519,burn,1.835,2478,6.388,0.287,23,0.067,NA
528,carry,7.47,5036,7.47,1,34,0.077,*bʰer-
529,carry,3.201,7015,7.47,0.428,34,0.077,*gʰrebh₂-
530,carry,5.521,5130,7.47,0.739,34,0.077,*h₁nek̑-
531,carry,2.957,6380,7.47,0.396,34,0.077,*deu̯k-
