t,family,Delta,value
9.09090909090909,Indo-European,R,0.5168194081077954
9.292929292929292,Indo-European,T,1
9.292929292929292,Indo-European,R,0.5137196712431789
9.494949494949495,Indo-European,T,1
9.494949494949495,Indo-European,R,0.5111912011299417
9.696969696969697,Indo-European,T,1
9.696969696969697,Indo-European,R,0.5091287160246697
9.8989898989899,Indo-European,T,1
9.8989898989899,Indo-European,R,0.5074463371081864
10.1010101010101,Indo-European,T,1
10.1010101010101,Indo-European,R,0.5060740126189608
10.303030303030303,Indo-European,T,1
10.303030303030303,Indo-European,R,0.5049546010017106
10.505050505050505,Indo-European,T,1
10.505050505050505,Indo-European,R,0.5040414916178346
10.707070707070708,Indo-European,T,1
10.707070707070708,Indo-European,R,0.503296663947589
10.909090909090908,Indo-European,T,1
10.909090909090908,Indo-European,R,0.502689104472065
11.11111111111111,Indo-European,T,1
11.11111111111111,Indo-European,R,0.5021935153162849
11.313131313131313,Indo-European,T,1
11.313131313131313,Indo-European,R,0.5017892608832268
11.515151515151516,Indo-European,T,1
11.515151515151516,Indo-European,R,0.5014595086181882
11.717171717171716,Indo-European,T,1
11.717171717171716,Indo-European,R,0.5011905281261858
11.919191919191919,Indo-European,T,1
11.919191919191919,Indo-European,R,0.500971119458684
12.121212121212121,Indo-European,T,1
12.121212121212121,Indo-European,R,0.5007921467643575
12.323232323232324,Indo-European,T,1
12.323232323232324,Indo-European,R,0.5006461578857996
12.525252525252524,Indo-European,T,1
12.525252525252524,Indo-European,R,0.5005270740627459
12.727272727272727,Indo-European,T,1
12.727272727272727,Indo-European,R,0.500429936821518
12.929292929292929,Indo-European,T,1
12.929292929292929,Indo-European,R,0.5003507015115372
13.131313131313131,Indo-European,T,1
13.131313131313131,Indo-European,R,0.5002860688920763
13.333333333333334,Indo-European,T,1
13.333333333333334,Indo-European,R,0.5002333477567721
13.535353535353535,Indo-European,T,0.949810950169023
13.535353535353535,Indo-European,R,0.5001903428757853
13.737373737373737,Indo-European,T,0.7747653125469245
13.737373737373737,Indo-European,R,0.5001552635896888
13.93939393939394,Indo-European,T,0.6319797528330406
13.93939393939394,Indo-European,R,0.5001266492490647
14.141414141414142,Indo-European,T,0.515508892206271
14.141414141414142,Indo-European,R,0.5001033083952318
14.343434343434343,Indo-European,T,0.42050305686603967
14.343434343434343,Indo-European,R,0.5000842691496725
14.545454545454545,Indo-European,T,0.343006344811858
14.545454545454545,Indo-European,R,0.5000687387464553
14.747474747474747,Indo-European,T,0.2797919079543635
14.747474747474747,Indo-European,R,0.5000560705226361
14.94949494949495,Indo-European,T,0.22822759094932252
14.94949494949495,Indo-European,R,0.5000457369921743
15.15151515151515,Indo-European,T,0.18616633215506456
15.15151515151515,Indo-European,R,0.5000373078821954
15.353535353535353,Indo-European,T,0.15185676317183552
15.353535353535353,Indo-European,R,0.5000304322170686
15.555555555555555,Indo-European,T,0.12387028446055978
15.555555555555555,Indo-European,R,0.5000248237043007
15.757575757575758,Indo-European,T,0.10104158057799172
15.757575757575758,Indo-European,R,0.5000202488137431
15.959595959595958,Indo-European,T,0.08242009817091733
15.959595959595958,Indo-European,R,0.5000165170537416
16.161616161616163,Indo-European,T,0.06723046634509265
16.161616161616163,Indo-European,R,0.5000134730393477
16.363636363636363,Indo-European,T,0.054840211371812594
16.363636363636363,Indo-European,R,0.500010990022319
16.565656565656564,Indo-European,T,0.044733421420400515
16.565656565656564,Indo-European,R,0.5000089646135111
16.767676767676768,Indo-European,T,0.03648926475516232
16.767676767676768,Indo-European,R,0.5000073124779069
16.96969696969697,Indo-European,T,0.029764466926402597
16.96969696969697,Indo-European,R,0.5000059648230314
17.171717171717173,Indo-European,T,0.024279017331736586
17.171717171717173,Indo-European,R,0.5000048655345354
17.373737373737374,Indo-European,T,0.019804509990127766
17.373737373737374,Indo-European,R,0.5000039688396773
17.575757575757574,Indo-European,T,0.016154633055777655
17.575757575757574,Indo-European,R,0.500003237401414
17.77777777777778,Indo-European,T,0.013177411069342927
17.77777777777778,Indo-European,R,0.5000026407637413
17.97979797979798,Indo-European,T,0.010748876925331306
17.97979797979798,Indo-European,R,0.5000021540835522
18.18181818181818,Indo-European,T,0.008767910065788127
18.18181818181818,Indo-European,R,0.5000017570962055
18.383838383838384,Indo-European,T,0.007152025970320522
18.383838383838384,Indo-European,R,0.5000014332717375
18.585858585858585,Indo-European,T,0.005833941623070391
18.585858585858585,Indo-European,R,0.5000011691265778
18.78787878787879,Indo-European,T,0.00475877394777803
18.78787878787879,Indo-European,R,0.5000009536621138
18.98989898989899,Indo-European,T,0.0038817545579299907
18.98989898989899,Indo-European,R,0.500000777906725
19.19191919191919,Indo-European,T,0.003166365667578269
19.19191919191919,Indo-European,R,0.500000634542218
19.393939393939394,Indo-European,T,0.0025828195449237273
19.393939393939394,Indo-European,R,0.5000005175991072
19.595959595959595,Indo-European,T,0.002106818195367232
19.595959595959595,Indo-European,R,0.5000004222080552
19.7979797979798,Indo-European,T,0.0017185416290713092
19.7979797979798,Indo-European,R,0.50000034439712
20,Indo-European,T,0.001401822585995032
20,Indo-European,R,0.5000002809263699
