age,simulation,node,y,cs_prob,first_split
9,42,52,TRUE,0.605,52
1,43,52,TRUE,0.98,52
10,43,66,FALSE,0.6,66
11,43,72,FALSE,0.78,72
12,43,75,FALSE,0.675,75
13,43,68,TRUE,0.565,68
14,43,71,TRUE,0.53,71
15,43,69,TRUE,0.97,69
16,43,57,TRUE,0.97,57
17,43,67,FALSE,0.545,67
2,43,52,TRUE,1,52
3,43,52,TRUE,0.745,52
4,43,52,TRUE,0.53,52
5,43,52,TRUE,0.895,52
6,43,52,TRUE,1,52
7,43,52,TRUE,0.855,52
8,43,52,TRUE,0.85,52
9,43,52,TRUE,0.725,52
1,44,52,TRUE,0.925,52
10,44,63,TRUE,0.7,63
11,44,66,FALSE,0.62,66
12,44,56,TRUE,0.59,56
13,44,69,FALSE,0.805,69
14,44,67,TRUE,0.65,67
15,44,58,TRUE,0.82,58
16,44,66,TRUE,0.67,66
17,44,58,TRUE,0.6,58
2,44,52,TRUE,1,52
3,44,52,TRUE,0.985,52
4,44,52,TRUE,0.99,52
5,44,52,TRUE,0.88,52
6,44,52,TRUE,0.88,52
7,44,52,TRUE,0.62,52
8,44,52,TRUE,0.93,52
9,44,67,TRUE,0.8,67
1,45,52,TRUE,1,52
10,45,77,FALSE,0.595,77
11,45,75,TRUE,0.695,75
12,45,67,TRUE,0.88,67
13,45,52,TRUE,0.675,52
15,45,71,FALSE,0.605,71
16,45,68,FALSE,0.72,68
17,45,68,FALSE,0.685,68
2,45,52,TRUE,1,52
3,45,52,TRUE,1,52
4,45,52,TRUE,0.99,52
5,45,52,TRUE,1,52
6,45,52,TRUE,0.975,52
7,45,52,TRUE,0.985,52
8,45,52,TRUE,0.67,52
9,45,52,TRUE,0.75,52
1,46,52,TRUE,1,52
10,46,52,TRUE,0.735,52
11,46,68,TRUE,0.57,68
12,46,72,FALSE,0.605,72
13,46,72,FALSE,0.555,72
14,46,71,FALSE,0.515,71
15,46,65,TRUE,0.565,65
17,46,56,FALSE,0.57,56
2,46,52,TRUE,0.93,52
3,46,52,TRUE,0.85,52
4,46,90,FALSE,0.52,90
5,46,52,TRUE,1,52
6,46,85,FALSE,0.525,85
7,46,52,TRUE,0.76,52
8,46,67,TRUE,0.84,67
9,46,52,FALSE,0.525,52
1,47,52,TRUE,1,52
10,47,62,TRUE,0.51,62
11,47,71,TRUE,0.705,71
12,47,65,FALSE,0.66,65
13,47,52,FALSE,0.515,52
14,47,64,TRUE,0.83,64
16,47,66,TRUE,0.535,66
17,47,59,TRUE,1,59
2,47,52,TRUE,1,52
3,47,52,TRUE,0.97,52
4,47,52,TRUE,0.94,52
5,47,52,TRUE,0.985,52
6,47,52,TRUE,0.885,52
7,47,52,TRUE,0.54,52
8,47,52,TRUE,0.69,52
9,47,81,TRUE,0.535,81
1,48,52,TRUE,0.55,52
10,48,71,FALSE,0.55,71
11,48,70,TRUE,0.65,70
12,48,70,TRUE,0.54,70
13,48,52,TRUE,0.6,52
14,48,65,FALSE,0.56,65
16,48,66,TRUE,0.605,66
17,48,52,TRUE,0.78,52
2,48,52,TRUE,1,52
3,48,52,TRUE,0.795,52
4,48,52,TRUE,0.945,52
5,48,52,TRUE,0.975,52
6,48,52,TRUE,0.995,52
7,48,52,FALSE,0.805,52
8,48,76,FALSE,0.665,76
9,48,75,FALSE,0.555,75
1,49,52,TRUE,0.9,52
10,49,65,FALSE,0.555,65
11,49,65,TRUE,0.62,65
12,49,64,TRUE,0.85,64
13,49,69,TRUE,0.655,69
14,49,52,TRUE,0.785,52
15,49,72,FALSE,0.51,72
16,49,68,FALSE,0.635,68
2,49,52,TRUE,0.985,52
3,49,52,TRUE,0.505,52
4,49,52,TRUE,0.995,52
5,49,85,FALSE,0.825,85
6,49,52,TRUE,1,52
7,49,52,TRUE,0.525,52
8,49,52,TRUE,0.805,52
9,49,66,TRUE,0.615,66
1,5,52,TRUE,1,52
10,5,74,TRUE,0.86,74
11,5,52,TRUE,0.79,52
12,5,67,FALSE,0.59,67
13,5,73,TRUE,0.67,73
14,5,52,TRUE,0.62,52
15,5,68,TRUE,0.865,68
16,5,64,FALSE,0.515,64
17,5,64,FALSE,0.505,64
2,5,52,TRUE,1,52
3,5,52,TRUE,1,52
4,5,52,TRUE,1,52
5,5,52,TRUE,0.93,52
6,5,52,TRUE,0.99,52
7,5,52,TRUE,1,52
8,5,52,TRUE,0.855,52
9,5,52,TRUE,0.725,52
1,50,52,TRUE,1,52
10,50,52,TRUE,0.725,52
11,50,72,FALSE,0.645,72
12,50,69,FALSE,0.575,69
13,50,64,FALSE,0.69,64
14,50,69,TRUE,0.645,69
15,50,57,TRUE,1,57
16,50,70,TRUE,0.695,70
17,50,65,TRUE,0.665,65
2,50,52,TRUE,1,52
3,50,52,TRUE,1,52
4,50,52,TRUE,0.745,52
5,50,52,TRUE,0.695,52
6,50,52,TRUE,0.565,52
7,50,52,TRUE,0.655,52
